method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor,range_aa,c_hops,fd_timeout
B2,12.0,3,96.0999999999988,18,1.000000000000398,1.000000000000398,2.2999999999994003,1.627374002879621,False,False,1.704868003016746,0.2875541603359656,22.0,1.796363460223122,0.39999999999785985,1.7909595793678958,21.0,0.5358538530874712,1.9047619047619047,0.5374706904584858,21.0,10.749413809169717,1.9047619047619047,0,False,2,-1.0,False,True,0.9430908166171391,False,False,True,10.4,1.9919373696405014,0.25
B2,12.0,3,99.59999999999896,15,1.2000000000000455,1.2000000000000455,2.4999999999997584,1.4723845862264433,False,False,1.542498137951512,0.2950253526456266,22.0,2.600607892766343,0.29999999999752447,2.600607892766343,21.0,0.778100061979274,1.9047619047619047,0.778100061979274,21.0,15.562001239585479,1.9047619047619047,0,False,2,-1.0,False,True,1.3653191437023302,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,107.39999999999864,12,0.6,0.20000000000031548,3.299999999999841,1.5207092647286462,True,False,1.589832413125403,0.3437254940196342,23.0,2.5895012901400345,0.29999999999738236,2.4799855320062263,22.0,0.7082822116690668,1.9090909090909092,0.7074050634404543,23.0,14.148101268809086,1.9130434782608696,2,False,2,0.0,True,False,1.3536029471186544,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,107.99999999999814,5,1.100000000000378,1.100000000000378,0.39999999999918145,2.410669689072298,False,False,2.5202455840301297,0.464853245320959,23.0,2.484781719666582,0.04999999999786553,2.232018312956341,22.0,0.637462939514684,1.9090909090909092,0.678797564893804,23.0,13.575951297876081,1.9130434782608696,2,False,2,0.0,True,False,1.298863171643895,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,109.09999999999852,18,1.5,2.3999999999993236,1.100000000000378,1.7539249512671118,False,True,1.837445187041736,0.3388930532643231,22.0,2.7314001883953747,0.29999999999739657,2.7314001883953747,21.0,0.8172330253215891,1.9047619047619047,0.8172330253215891,21.0,16.344660506431783,1.9047619047619047,0,False,2,-1.0,False,True,1.4339850989075718,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,111.49999999999784,6,1.5,2.0999999999998806,2.3999999999993236,1.7331805671116534,False,True,1.819839595467236,0.3610584169280271,21.0,1.829666051941058,0.049999999997965006,1.6965418299384534,20.0,0.5329843349442429,1.9,0.5474348026000637,21.0,10.948696052001274,1.9047619047619047,0,False,2,0.0,True,True,0.9605746772690554,False,False,True,10.4,1.9919373696405014,0.25
B2,12.0,3,113.59999999999772,9,1.5,1.8000000000009209,2.0999999999998806,1.5194161967454516,False,True,1.59938547025837,0.3017228893476137,20.0,1.7524897605016785,0.24999999999795364,1.7524897605016785,19.0,0.5795377849561483,1.894736842105263,0.5795377849561483,19.0,11.590755699122965,1.894736842105263,0,False,2,-1.0,False,True,0.9249251513758859,False,False,True,10.4,1.9919373696405014,0.25
B2,12.0,3,119.39999999999829,15,0.6,0.09999999999955378,2.29999999999977,1.3107762060400274,True,False,1.373194120613362,0.2685891910145095,22.0,2.584041587805129,0.24999999999705835,,,,,0.7380005517108272,22.0,14.760011034216545,1.9090909090909092,1,False,2,0.0,True,False,1.3535455936122105,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,129.89999999999725,23,1.5,2.299999999999528,2.4999999999989626,1.4650645680504857,False,True,1.5287630275309416,0.2967828794508925,24.0,1.698962043053344,0.24999999999809575,1.698962043053344,23.0,0.4641257976681991,1.9130434782608696,0.4641257976681991,23.0,9.282515953363982,1.9130434782608696,0,False,2,-1.0,False,True,0.8880937952324298,False,False,True,10.4,1.9919373696405014,0.25
B2,12.0,3,132.19999999999678,20,0.6,0.4000000000003183,2.299999999999528,1.3768539712195167,True,False,1.4394382426385857,0.2753691442858438,23.0,2.255609660520981,0.2499999999990905,2.255609660520981,22.0,0.6442006126235347,1.9090909090909092,0.6442006126235347,22.0,12.884012252470693,1.9090909090909092,1,False,2,-1.0,False,False,1.1815098221776568,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,132.5999999999971,22,0.6,0.3999999999996646,0.4000000000003183,2.144855657321011,True,False,2.246991641002964,0.3763240408268,22.0,2.238546936369962,0.04999999999881766,2.071724528035132,21.0,0.6198585292892336,1.9047619047619047,0.6393275100014373,22.0,12.786550200028746,1.9090909090909092,2,False,2,0.0,True,False,1.172572204765218,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,132.99999999999676,16,1.5,4.900000000000489,0.3999999999996646,1.8952219458081114,False,True,1.9899830430985168,0.3801495077021544,21.0,2.454497031299211,0.24999999999928946,2.454497031299211,20.0,0.7711029841787558,1.9,0.7711029841787558,20.0,15.422059683575116,1.9,2,False,2,-1.0,False,False,1.2918405427890585,False,True,False,10.4,1.9919373696405014,0.25
B2,12.0,3,140.99999999999673,21,0.6,0.0999999999994543,0.3999999999996362,1.6822648424948863,True,False,1.7587314262446536,0.3892243025438348,23.0,1.8229738757886729,0.050000000001091394,1.6401407015724043,22.0,0.4684230889921341,1.9090909090909092,0.4772534446553171,24.0,9.545068893106341,1.9166666666666667,4,False,3,1.0,True,False,0.9511168047593076,False,False,True,10.4,1.9919373696405014,0.25
B2,12.0,3,141.0999999999962,25,1.5,7.900000000000546,0.09999999999942588,1.7470166309641446,False,True,1.8229738757886729,0.3751252816444257,24.0,1.8165012770783728,1.6484591469634324e-12,1.7212851326014218,23.0,0.4702240632446921,1.9130434782608696,0.475558922275491,24.0,9.51117844550982,1.9166666666666667,4,False,3,0.0,True,False,0.9477397967365423,False,False,True,10.4,1.9919373696405014,0.25
B2,12.0,3,150.39999999999574,11,1.5,inf,1.2999999999995566,1.3668785265045784,False,True,1.4263080276569513,0.2490547279407405,24.0,1.8226698770825105,0.2000000000042519,1.8226698770825105,23.0,0.4979205474575501,1.9130434782608696,0.4979205474575501,23.0,9.958410949151002,1.9130434782608696,0,False,2,-1.0,False,True,0.9527592539294941,False,False,True,10.4,1.9919373696405014,0.25
baseline,12.0,4,21.400000000000038,19,1.5,8.0,4.300000000000054,1.014516782562132,False,True,1.0586262078909203,0.0377209971158076,24.0,1.9912843888872973,0.20000000000013074,1.9912843888872973,23.0,0.5439829919422934,1.9130434782608696,0.5439829919422934,23.0,10.879659838845868,1.9130434782608696,0,False,2,-1.0,False,True,1.0408986578274508,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,45.10000000000037,6,1.5,8.0,15.700000000000333,0.9664280294372417,False,True,1.008446639412774,0.0070138742752486,24.0,1.9262604962941252,0.3499999999991914,1.926181354326092,23.0,0.5261980167158686,1.9130434782608696,0.5262196368745959,23.0,10.524392737491919,1.9130434782608696,0,False,2,-1.0,False,True,1.006908895790111,True,False,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,54.4000000000005,11,1.5,7.0000000000000995,1.3000000000001322,1.0628419101221633,False,True,1.1090524279535618,0.0948758781517065,24.0,2.01780931048112,0.29999999999852633,2.01780931048112,23.0,0.5512291222741368,1.9130434782608696,0.5512291222741368,23.0,11.024582445482736,1.9130434782608696,0,False,2,-1.0,False,True,1.0547639577514947,False,True,False,10.4,1.9919373696405014,0.25
baseline,12.0,4,61.4000000000006,14,0.9999999999999005,0.9999999999999005,7.0000000000000995,1.0715008658673297,False,False,1.120205450679481,0.056628887039514,23.0,2.0500793530207315,0.29999999999802895,2.0500793530207315,22.0,0.5855012940660043,1.9090909090909092,0.5855012940660043,22.0,11.710025881320085,1.9090909090909092,0,False,2,-1.0,False,True,1.073851089677526,False,True,False,10.4,1.9919373696405014,0.25
