t_fail,gmax_peak,gap_peak_deg,alive_at_peak,t_close_125,t_close_110,breach_area_125,gmax_final,gap_final_deg,alive_final,egap_final,method,N,vmax,tau_xy,seed,dt,budget,victim,git_commit,git_dirty,experiment_seed,control_period,k_e_tau,composition_mode,num_agents,encirclement_radius,sim_duration,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,agent_state_timeout,broadcast_repeats,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_tau_xy,vm_max_speed_xy,target_motion_speed_xy,target_swarm_spin_enable,target_swarm_omega_ref,init_radius_range,init_angles_equidistant
5.099999999999998,1.920001978134408,30.052204875147254,23.0,3.0999999999999925,7.700000000000058,0.8880384599536009,1.0080601440193162,15.77833268899799,23.0,0.0056742825645013,baseline,24,10.0,1.0,1,0.05,60.0,15,93915a5,True,1,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,15,15,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.920001978134408,30.052204875147254,23.0,2.3499999999999917,3.399999999999997,0.8450611101959706,1.000933263348946,15.66678151328785,23.0,0.0006603984672417,B2,24,10.0,1.0,1,0.05,60.0,15,93915a5,True,1,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,15,15,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9173825521228924,30.011205163662666,23.0,3.1499999999999932,7.650000000000059,0.8718968521087853,1.0080321579319846,15.777894645891932,23.0,0.0056613423101374,baseline,24,10.0,1.0,2,0.05,60.0,16,93915a5,True,2,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,16,16,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9173825521228924,30.011205163662666,23.0,2.249999999999992,3.4499999999999975,0.8293376775975347,1.0009515359833911,15.667067519740035,23.0,0.0006783807754027,B2,24,10.0,1.0,2,0.05,60.0,16,93915a5,True,2,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,16,16,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9167622298104448,30.0014957709461,23.0,3.0999999999999925,7.650000000000059,0.8805417164366717,1.0080024501452485,15.777429654447362,23.0,0.0056347501398017,baseline,24,10.0,1.0,3,0.05,60.0,17,93915a5,True,3,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,17,17,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9167622298104448,30.0014957709461,23.0,2.299999999999991,3.4499999999999975,0.8322152139530745,1.0008859737733142,15.666041328625782,23.0,0.0006308602539755,B2,24,10.0,1.0,3,0.05,60.0,17,93915a5,True,3,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,17,17,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916673831567632,30.000112146275978,23.0,3.1499999999999932,7.650000000000059,0.8861394128365294,1.0079565131120325,15.776710640014423,23.0,0.0056060926873928,baseline,24,10.0,1.0,4,0.05,60.0,18,93915a5,True,4,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,18,18,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916673831567632,30.000112146275978,23.0,2.3499999999999917,3.399999999999997,0.8440148831988239,1.0008924381873412,15.666142510758386,23.0,0.000632525350062,B2,24,10.0,1.0,4,0.05,60.0,18,93915a5,True,4,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,0.25,2,True,18,18,5.0,-1.0,True,2.0,True,1.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9224843066149415,30.09105871223387,23.0,4.850000000000019,9.500000000000082,1.205214437777126,1.007633469747874,15.771654309097155,23.0,0.0053777144225089,baseline,24,10.0,2.0,0,0.05,60.0,14,93915a5,True,0,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,14,14,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9224843066149415,30.09105871223387,23.0,3.349999999999996,4.750000000000016,1.207603006206666,1.000568556873712,15.661073064110271,23.0,0.0004020444446205,B2,24,10.0,2.0,0,0.05,60.0,14,93915a5,True,0,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,14,14,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.917740130237347,30.0168020384976,23.0,4.750000000000016,9.500000000000082,1.1806951814840467,1.0076199802858272,15.771443169691207,23.0,0.0053675376574753,baseline,24,10.0,2.0,1,0.05,60.0,15,93915a5,True,1,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,15,15,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.917740130237347,30.0168020384976,23.0,3.399999999999997,4.750000000000016,1.17918785707835,1.0005320797740345,15.66050211820228,23.0,0.0003780087109701,B2,24,10.0,2.0,1,0.05,60.0,15,93915a5,True,1,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,15,15,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916769401521996,30.001608023822545,23.0,4.750000000000016,9.450000000000083,1.1631863573137555,1.0075953286627688,15.771057318199855,23.0,0.0053556612733453,baseline,24,10.0,2.0,2,0.05,60.0,16,93915a5,True,2,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,16,16,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916769401521996,30.001608023822545,23.0,3.349999999999996,4.850000000000019,1.1783148608603287,1.0005439835453769,15.660688438101548,23.0,0.0003858366745578,B2,24,10.0,2.0,2,0.05,60.0,16,93915a5,True,2,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,16,16,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9166730367201887,30.000099705185562,23.0,4.750000000000016,9.450000000000083,1.1707204463383434,1.007564893161507,15.77058093644098,23.0,0.0053299311067582,baseline,24,10.0,2.0,3,0.05,60.0,17,93915a5,True,3,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,17,17,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.9166730367201887,30.000099705185562,23.0,3.349999999999996,4.750000000000016,1.185014521363981,1.0004970328218807,15.659953557212047,23.0,0.0003514528353806,B2,24,10.0,2.0,3,0.05,60.0,17,93915a5,True,3,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,17,17,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916666885143844,30.00000341964277,23.0,4.750000000000016,9.500000000000082,1.1760645906313962,1.0075198694379206,15.76987621728919,23.0,0.0053020399070479,baseline,24,10.0,2.0,4,0.05,60.0,18,93915a5,True,4,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,18,18,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
5.099999999999998,1.916666885143844,30.00000341964277,23.0,3.399999999999997,4.650000000000015,1.1784409175967685,1.0004914656692614,15.659866419171045,23.0,0.0003493692386419,B2,24,10.0,2.0,4,0.05,60.0,18,93915a5,True,4,0.05,10.416667,sum,24,20.0,65.0,360.0,B2,1.0,72,2.0,True,True,0.0,0.0,200.0,0.25,2,True,18,18,5.0,-1.0,True,2.0,True,2.0,10.0,0.0,False,0.0,0.0,True
