metric,label,vmax,n,n_nonfinite,base_median,b2_median,base_min,base_max,b2_min,b2_max,ratio_median,ratio_min,ratio_max,n_lose,p_value,tau_xy,N
t_close_110,t_close 1.10,,20,0,8.000000000000062,2.5999999999999908,8.000000000000062,8.100000000000062,2.549999999999991,2.6499999999999906,3.0769230769231117,3.05660377358494,3.13725490196082,0,7.016285750556151e-05,0.5,
t_close_110,t_close 1.10,,20,0,7.650000000000059,3.449999999999997,7.650000000000059,7.700000000000058,3.399999999999997,3.4999999999999982,2.2173913043478453,2.2000000000000175,2.26470588235296,0,7.512381540809211e-05,1.0,
t_close_110,t_close 1.10,,20,0,9.500000000000082,4.750000000000016,9.450000000000085,9.500000000000082,4.650000000000015,4.850000000000019,2.0000000000000107,1.9484536082474324,2.043010752688183,0,7.512381540809211e-05,2.0,
t_close_125,t_close 1.25,,5,0,2.3999999999999915,2.1499999999999924,2.3999999999999915,2.4499999999999917,2.1499999999999924,2.199999999999992,1.1162790697674418,1.1136363636363638,1.1395348837209305,0,0.0625,,12.0
t_close_125,t_close 1.25,,5,0,3.149999999999993,2.349999999999992,3.0999999999999925,3.2499999999999947,2.249999999999992,2.349999999999992,1.3478260869565237,1.319148936170214,1.4000000000000017,0,0.0625,,24.0
t_close_125,t_close 1.25,,5,0,3.700000000000001,2.549999999999991,3.700000000000001,3.7500000000000018,2.499999999999991,2.549999999999991,1.4705882352941235,1.4509803921568682,1.500000000000006,0,0.0625,,48.0
t_close_110,t_close 1.10,,5,0,4.650000000000015,2.6499999999999906,4.650000000000015,4.7000000000000135,2.6499999999999906,2.6499999999999906,1.7547169811320873,1.7547169811320873,1.7735849056603887,0,0.0625,,12.0
t_close_110,t_close 1.10,,5,0,7.650000000000059,3.449999999999997,7.650000000000059,7.700000000000058,3.399999999999997,3.4999999999999982,2.2173913043478453,2.2000000000000175,2.26470588235296,0,0.0625,,24.0
t_close_110,t_close 1.10,,5,0,11.35000000000011,4.600000000000014,11.300000000000107,11.35000000000011,4.500000000000012,4.7000000000000135,2.4673913043478426,2.414893617021293,2.5222222222222395,0,0.0625,,48.0
breach_area_125,area da brecha,,5,0,0.7444323426082802,0.6832805388188304,0.7413558431290798,0.7517918432866142,0.6800760924041832,0.6883654748604281,1.0894973591596233,1.0810575107115143,1.0991203879998366,0,0.0625,,12.0
breach_area_125,area da brecha,,5,0,0.8861394128365294,0.8440148831988239,0.8718968521087853,0.9085841581300658,0.8293376775975347,0.8565122102548188,1.0513170637978706,1.0499097000257307,1.060795336309047,0,0.0625,,24.0
breach_area_125,area da brecha,,5,0,1.0002445752104605,0.9613852604248984,0.9959078564794104,1.0108829389169487,0.9571193515560288,0.9732191370905278,1.0404201274818667,1.0378441560302962,1.0430336097631752,0,0.0625,,48.0
breach_area_125,area da brecha,,20,0,0.7194762698166559,0.6469486911074123,0.7080156174772676,0.7367979062538162,0.625116926715087,0.6559594970528548,1.1278860111614757,1.1038373560509773,1.147674010489805,0,8.609160404929316e-05,0.5,
breach_area_125,area da brecha,,20,0,0.8861394128365294,0.8440148831988239,0.8718968521087853,0.9085841581300658,0.8293376775975347,0.8565122102548188,1.0513170637978706,1.0499097000257307,1.060795336309047,0,8.246690806096905e-05,1.0,
breach_area_125,area da brecha,,20,0,1.1760645906313962,1.17918785707835,1.1631863573137555,1.205214437777126,1.1783148608603289,1.207603006206666,0.9979834992744325,0.9871608989675922,1.0012782733443604,16,0.0003678270965235001,2.0,
