source_csv,analysis_git_commit,analysis_git_dirty,metric,direction,scope,rate_total,n,base_median,b2_median,ratio_median,ratio_min,ratio_max,n_lose,n_lose_5pct,w_stat,p_value,z,r_effect,note
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,fairness_p95,lower,agregado,,32,0.3027894816631157,0.3223255278028734,1.004011879130541,0.5719992074398463,1.6302956595033449,15,12,245.0,0.7328818910755217,-0.35527985620321373,0.06280519888506847,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,sat_frac,lower,rate=6,6.0,8,0.0,0.0,,,,0,0,,,,,todas as diferencas sao exatamente zero
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,sat_frac,lower,rate=12,12.0,8,0.0,0.0,,,,0,0,,,,,todas as diferencas sao exatamente zero
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,sat_frac,lower,rate=24,24.0,8,0.0,0.0,,,,0,0,,,,,todas as diferencas sao exatamente zero
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,sat_frac,lower,rate=48,48.0,8,0.0,0.0,,,,0,0,,,,,todas as diferencas sao exatamente zero
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,sat_frac,lower,agregado,,32,0.0,0.0,,,,0,0,,,,,todas as diferencas sao exatamente zero
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,effort_mean_v2,cost,rate=6,6.0,8,0.00044209330442500003,0.0011050922685764,2.5406957529807053,2.3733529721864803,3.2270142675555675,8,8,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,effort_mean_v2,cost,rate=12,12.0,8,0.0007982965864549499,0.00215161127148535,2.3812463936694197,2.223765770190826,2.7199184724050087,8,8,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,effort_mean_v2,cost,rate=24,24.0,8,0.0018415025952539,0.0044712446890308,2.3518113542756325,1.9659357480065982,2.65505057841411,8,8,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,effort_mean_v2,cost,rate=48,48.0,8,0.00345651367516665,0.007690003795312549,2.3661049864390042,1.7383978291086486,2.645879448215759,8,8,0.0,0.0078125,-2.5205041512504174,0.8911327886790067,
churn_sweep_results_c3_churn8_dt05.csv,f9c788e,False,effort_mean_v2,cost,agregado,,32,0.0012835141578086502,0.003055695530245,2.40728855690842,1.7383978291086486,3.2270142675555675,32,32,0.0,4.656612873077393e-10,-4.936520107244654,0.8726617108241094,
