egap_mean_steady20,egap_p90_steady20,egap_max_steady20,gmax_mean_steady20,gmax_max_steady20,frac_gmax_gt125_steady20,frac_gmax_gt150_steady20,n_samples_steady20,t_last_failure,t_close_125_after_last,t_close_110_after_last,censored_125,censored_110,n_failure_start,n_failure_end,n_pulse_injected,n_dual_pulse_event_completed_saida,n_dual_pulse_event_completed_entrada,n_dual_pulse_self_shift_saida,n_dual_pulse_self_shift_entrada,n_landed_events,dp_seq_max,ent_total,ent_legit_id,ent_spur_id,ent_legit_cnt,ent_spur_cnt,order_swap_frac,effort_mean_v2,sat_frac,fairness_p95,assert_alive_deficit_max,assert_alive_excess_max,assert_tol_s,method,N,radius,range_aa,range_at,c_hops,c_hops_post,fd_timeout,rate_total,off_time,tau_xy,seed,dt,budget,git_commit,git_dirty,experiment_seed,control_period,k_e_tau,composition_mode,num_agents,encirclement_radius,sim_duration,protection_angle_deg,dual_pulse_integration,dual_pulse_delta_scale,dual_pulse_ttl_hops,dual_pulse_t_ff,dual_pulse_multiplicity,dual_pulse_consume_ff_only,communication_delay,communication_failure_rate,communication_range,comm_role_aware_ranges,comm_range_agent_agent,comm_range_agent_target,agent_state_timeout,broadcast_repeats,deterministic_failure_enable,deterministic_failure_agent_id,deterministic_failure_agent_ids,deterministic_failure_time,deterministic_failure_off_time,failure_enable,failure_mean_per_min,experiment_reproducible,vm_tau_xy,vm_max_speed_xy,target_motion_speed_xy,target_swarm_spin_enable,target_swarm_omega_ref,init_radius_range,init_angles_equidistant,ent_legit_ang,ent_spur_ang,ent_ang_undef,ent_W,ent_total_2w,ent_legit_ang_2w,ent_spur_ang_2w,ent_ang_undef_2w,ent_legit_id_2w,ent_spur_id_2w,ent_legit_cnt_2w,ent_spur_cnt_2w,ent_W_2w
0.138187711981174,0.2544447182113414,0.3787130361032741,1.3599054611506678,2.0946442850449944,0.5681481481481482,0.3085185185185185,2700,147.89999999999588,3.950000000004394,inf,False,True,29,28,266,0,0,0,0,0,0,0,0,0,0,0,0.2,0.002779870484132569,0.0,0.4314285816858513,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,2,0.05,150.0,50d24bb,False,2,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.2169176061122966,0.35454832363019734,0.4682775094262578,1.559531830913552,2.842508457868384,0.7948148148148149,0.5322222222222223,2700,147.89999999999588,inf,inf,True,True,29,28,420,32,557,5,25,38,18,32,7,25,12,20,0.5225806451612903,0.005094476367441321,0.0,0.9085955967038764,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,2,0.05,150.0,50d24bb,False,2,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,8.0,24.0,0.0,1.5,32.0,8.0,24.0,0.0,7.0,25.0,17.0,15.0,3.0
0.17551838862092295,0.2758822287110679,0.3876017080260266,1.4720475356954754,2.456043760993848,0.7522222222222222,0.4062962962962963,2700,150.39999999999574,4.250000000005173,inf,False,True,38,37,336,0,0,0,0,0,0,0,0,0,0,0,0.8580645161290322,0.003586882659588799,0.0,0.8139315684283649,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,3,0.05,150.0,50d24bb,False,3,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.2634076181212239,0.4177263506104927,0.7781842754579226,1.6916309366008413,3.868145357931535,0.9474074074074074,0.6488888888888888,2700,150.39999999999574,inf,inf,True,True,38,37,488,65,818,13,46,68,25,55,11,44,34,21,0.8580645161290322,0.009229436098375171,0.0,0.9159430342173099,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,3,0.05,150.0,50d24bb,False,3,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,16.0,39.0,0.0,1.5,55.0,16.0,39.0,0.0,12.0,43.0,39.0,16.0,3.0
0.13265872789289596,0.24507845844908216,0.5239576354754201,1.3565416839589808,3.1495077641350933,0.4888888888888889,0.2825925925925926,2700,153.19999999999604,inf,inf,True,True,31,26,210,0,0,0,0,0,0,0,0,0,0,0,0.432258064516129,0.0022697959437363033,0.0,0.4910480208476451,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,4,0.05,150.0,50d24bb,False,4,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.18623942385885758,0.3203491027736396,0.4311260732144479,1.4863081820090223,2.6081672145166297,0.7551851851851852,0.44555555555555554,2700,153.19999999999604,inf,inf,True,True,31,26,338,21,657,0,33,38,13,37,11,26,20,17,0.432258064516129,0.0041094208120428626,0.0,0.8959178517949482,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,4,0.05,150.0,50d24bb,False,4,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,12.0,25.0,0.0,1.5,37.0,12.0,25.0,0.0,11.0,26.0,24.0,13.0,3.0
0.11901374949189922,0.2194350576125106,0.37212890911311,1.3162660302736213,2.333498462989686,0.4662962962962963,0.2111111111111111,2700,149.5999999999958,3.9500000000049056,inf,False,True,21,19,149,0,0,0,0,0,0,0,0,0,0,0,0.43870967741935485,0.0018200025634287108,0.0,0.8299129268149502,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,5,0.05,150.0,50d24bb,False,5,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.14237501681429693,0.21697652344545149,0.3549045224670797,1.3306191623630037,2.4323517859145687,0.5203703703703704,0.18814814814814815,2700,149.5999999999958,inf,inf,True,True,21,19,151,66,518,2,25,29,5,26,9,17,15,11,0.5225806451612903,0.0023810261076243474,0.0,0.31265421298956225,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,5,0.05,150.0,50d24bb,False,5,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,11.0,15.0,1.0,1.5,26.0,11.0,15.0,1.0,10.0,16.0,17.0,9.0,3.0
0.12127234412596408,0.20335846089590004,0.2943567421979604,1.3179337569391565,2.17447162955332,0.5051851851851852,0.20296296296296296,2700,154.19999999999553,0.30000000000535465,inf,False,True,25,23,169,0,0,0,0,0,0,0,0,0,0,0,0.7806451612903226,0.00162198514842891,0.0,0.2828991634673305,0.0,0.0,1.1,baseline,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,6,0.05,150.0,50d24bb,False,6,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,,,,,,,,,,,,,
0.2588703196914029,0.47106935321641163,0.6231139653669164,1.6826146612262076,2.966751699100581,0.8496296296296296,0.5877777777777777,2700,154.19999999999553,inf,inf,True,True,25,23,420,2,662,6,29,42,26,36,4,32,17,19,0.8709677419354839,0.007166332164812576,0.0,0.9203013958012674,0.0,0.0,1.1,B2,24,20.0,8.4,200.0,1.608872490863482,1.5422278611818216,1.0,12.0,8.0,1.0,6,0.05,150.0,50d24bb,False,6,0.05,10.416667,sum,24,20.0,155.0,360.0,B2,1.0,72,1.0,True,True,0.0,0.0,200.0,True,8.4,200.0,1.0,2,False,6,6,15.0,-1.0,True,0.5,True,1.0,10.0,0.0,False,0.0,0.0,True,10.0,26.0,0.0,1.5,36.0,10.0,26.0,0.0,4.0,32.0,21.0,15.0,3.0
