tb,mean
77.75,0.0018005570799071887
78.0,0.0017825347712039322
78.25,0.0017648673429369903
78.5,0.0017473441870059926
78.75,0.0017299788346510606
79.0,0.0017125456847535807
79.25,0.0016957675712643131
79.5,0.0016794461957711645
79.75,0.0016628414711236435
80.0,0.0016464364979302468
80.25,0.0016299249166227612
80.5,0.0016141294906686953
80.75,0.0015980710496366068
81.0,0.0015822431082365147
81.25,0.0015668099968440896
81.5,0.0015515118131765972
81.75,0.0015362492252071413
82.0,0.001521021165263993
82.25,0.0015061124547539441
82.5,0.0014915816014935738
82.75,0.0014767467663691133
83.0,0.0014623265869580756
83.25,0.0014480233584622155
83.5,0.0014338595992815025
83.75,0.0014198956002970443
84.0,0.0014058759060036057
84.25,0.0013924062771491807
84.5,0.0013782961048163316
84.75,0.0013649076543519514
85.0,0.0013517351373151893
85.25,0.001338685232294688
85.5,0.0013258170168275547
85.75,0.001312976960301875
86.0,0.0013000818887286864
86.25,0.0012874031353657996
86.5,0.0012750554324838523
86.75,0.0012628118781040393
87.0,0.0012506661950181526
87.25,0.0012384476566667366
87.5,0.001226364502824943
87.75,0.0012145143993516024
88.0,0.0012028180823815623
88.25,0.0011912771665960134
88.5,0.0011799258832913188
88.75,0.0011684964834784302
89.0,0.0011573046483933766
89.25,0.0011461500090750086
89.5,0.0011352712530631063
89.75,0.0011243890334043621
90.0,0.0011134603832801788
90.25,0.0011028865236285843
90.5,0.0010924692966550154
90.75,0.0010819639125149647
91.0,0.0010716454065193056
91.25,0.0010613616665187849
91.5,0.0010512230834184622
91.75,0.001041264492475127
92.0,0.0010315261624557624
92.25,0.0010215309456010832
92.5,0.0010117690331605878
92.75,0.0010021282989992417
93.0,0.000992794208720997
93.25,0.000983402583700291
93.5,0.0009741530085604483
93.75,0.000964898503472722
94.0,0.0009559246793417297
94.25,0.000946747944646947
94.5,0.0009378150286313403
94.75,0.0009291815892121328
95.0,0.0009203190172759468
95.25,0.0009117629214735281
95.5,0.0009030738010528359
95.75,0.0008946102591159185
96.0,0.0008863059343297108
96.25,0.0008780781957824133
96.5,0.0008697595585320816
96.75,0.0008616915864024834
97.0,0.000853694877240277
97.25,0.000845800014783992
97.5,0.0008378119139869293
97.75,0.0008299596571489565
98.0,0.0008224220202041104
98.25,0.0008149295642000358
98.5,0.0008073441145549501
98.75,0.0007998574190164925
99.0,0.000792514577607888
99.25,0.0007852294036893719
99.5,0.0007780051784105527
99.75,0.0007708866402585925
100.0,0.0007637720925401955
100.25,0.0007568849050783993
100.5,0.000749844413908245
100.75,0.0007431175255375027
101.0,0.0007363587096929647
101.25,0.0007296082539467978
101.5,0.0007229344732604803
101.75,0.0007163218540128826
102.0,0.0007099254645949896
102.25,0.0007034494592240657
102.5,0.0006970495814714187
102.75,0.0006907741697770624
103.0,0.000684557192602388
103.25,0.0006783950720373182
103.5,0.0006723069253315943
103.75,0.000666213806720697
104.0,0.0006602916202674959
104.25,0.0006544081382255453
104.5,0.0006485226513882034
104.75,0.000642801494183512
105.0,0.0006370484889144647
105.25,0.0006313664920790215
105.5,0.0006257159641242185
105.75,0.0006201023944200567
106.0,0.000614623903594676
106.25,0.0006092446299092621
106.5,0.0006038701073917322
106.75,0.0005985066639050119
107.0,0.000593348429556629
107.25,0.0005881898082741268
107.5,0.0005829034571397132
107.75,0.0005778228728744371
108.0,0.0005727762370616574
108.25,0.000567891989940996
108.5,0.0005629404969173458
108.75,0.0005580604256841055
109.0,0.0005532120411883934
109.25,0.0005484364122617299
109.5,0.0005436158281278447
109.75,0.0005389864486217854
110.0,0.0005343345665087719
110.25,0.000529760062721274
110.5,0.000525186002184885
110.75,0.0005207101549799418
111.0,0.000516345310704674
111.25,0.0005119312241305439
111.5,0.0005075135159585747
111.75,0.0005031734514437628
112.0,0.0004989586682401006
112.25,0.0004947418525887604
112.5,0.0004905183176760962
112.75,0.00048639832743168547
113.0,0.00048230768940390014
113.25,0.00047828923461630426
113.5,0.0004742962497586343
113.75,0.0004703130300984417
114.0,0.00046640761825383133
114.25,0.00046251221300012887
114.5,0.0004586986201463333
114.75,0.000454894079182294
115.0,0.0004511243409966618
115.25,0.00044739620632524863
115.5,0.00044372951329530824
115.75,0.00044006927109650176
116.0,0.0004364855036204111
116.25,0.0004329651880262923
116.5,0.0004293741628044457
116.75,0.0004258790266547614
117.0,0.0004224685173377946
117.25,0.00041906795051723666
117.5,0.00041565610106807267
117.75,0.0004123012722272402
118.0,0.00040900609725377465
118.25,0.0004057698833976745
118.5,0.00040244617202958154
118.75,0.0003992639210183612
119.0,0.00039610975002412187
119.25,0.0003929806263914425
119.5,0.00038984566029193207
119.75,0.00038676235787491657
120.0,0.00038379226204668853
120.25,0.0003807828372117109
120.5,0.0003777690095063594
120.75,0.0003748005262745196
121.0,0.00037190984778359546
121.25,0.0003690478957507568
121.5,0.00036612777200826005
121.75,0.0003633127608471549
122.0,0.0003605293821990291
122.25,0.0003577523024009829
122.5,0.0003549866711720715
122.75,0.00035230994900543476
123.0,0.00034962898686026033
123.25,0.0003469609246266616
123.5,0.00034432603395022685
123.75,0.0003417139024284781
124.0,0.0003391517062362463
124.25,0.0003366202415612128
124.5,0.0003340896330365748
124.75,0.0003315803461945799
125.0,0.00032914808856026586
125.25,0.00032670225283035816
125.5,0.0003243079209396781
125.75,0.0003219067683266127
126.0,0.00031955029694562834
126.25,0.00031720783268338374
126.5,0.00031489015153662474
126.75,0.00031262363268077446
127.0,0.0003103375189996306
127.25,0.00030811480498919814
127.5,0.0003058585275654603
127.75,0.00030365197476534
128.0,0.000301468942805785
128.25,0.0002993458027245475
128.5,0.0002972105179061638
128.75,0.0002950856896115879
129.0,0.00029303837092700615
129.25,0.0002909971244089521
129.5,0.0002889130701690414
129.75,0.00028689710186533685
130.0,0.0002849082774861893
130.25,0.0002829703581047706
130.5,0.00028097925991465127
130.75,0.0002790454698381491
131.0,0.00027715532449876094
131.25,0.0002752574239684043
131.5,0.0002733541883877402
131.75,0.0002715034435513988
132.0,0.00026966559321197725
132.25,0.000267860571254114
132.5,0.00026605711938331047
132.75,0.0002643060785075925
133.0,0.00026254201522552656
133.25,0.00026080503214943266
133.5,0.00025904665395246317
133.75,0.00025732593425953354
134.0,0.0002556765038727007
134.25,0.000254000404992542
134.5,0.0002523469440406738
134.75,0.0002506997864790091
135.0,0.000249092129543603
135.25,0.000247492793986461
135.5,0.00024592731526048303
135.75,0.0002443388959825967
136.0,0.00024279959997325058
136.25,0.00024127231191393655
136.5,0.00023973664488187717
136.75,0.00023823609999562331
137.0,0.00023674743282970794
137.25,0.00023526888417435782
137.5,0.00023382276408259606
137.75,0.00023237655416684955
138.0,0.0002309631790345193
138.25,0.00022954431694180053
138.5,0.00022813519352330447
138.75,0.0002267491708072901
139.0,0.00022539982539462994
139.25,0.00022407221692637592
139.5,0.00022271238383565154
139.75,0.00022137408949710668
140.0,0.00022007165174807986
140.25,0.0002187697686089224
140.5,0.00021746455487878916
140.75,0.00021621344333982247
141.0,0.0002149571474467305
141.25,0.00021371111740010662
141.5,0.00021246971190941216
141.75,0.00021125164393620457
142.0,0.0002100605379766907
142.25,0.00020887786429656316
142.5,0.00020768631462100915
