method,rate_total,seed,gmax_avg,gmax_p90,gmax_p99,gmax_max,egap_avg,n_samples,frac_gt_1.25,frac_gt_1.5,frac_gt_1.75,frac_gt_2
baseline,48.0,0,1.6880398382527253,2.134389046107985,2.6171162857418744,3.019890249227786,0.26220202964486683,2700,0.9125925925925926,0.6588888888888889,0.4192592592592593,0.18074074074074073
baseline,48.0,1,1.8294870196174953,2.38403046658355,3.1668159321616876,3.597082734868712,0.3113218682850883,2700,0.9851851851851852,0.784074074074074,0.5133333333333333,0.27
baseline,48.0,2,1.7432485220625467,2.2756797901345744,2.7666937684764723,2.978679551812323,0.281293882066121,2700,0.9777777777777777,0.6714814814814815,0.43407407407407406,0.22481481481481483
baseline,48.0,3,1.7995143323382619,2.3498302863261546,2.880791852030811,3.305800186037246,0.30571867273791736,2700,0.9762962962962963,0.7492592592592593,0.46555555555555556,0.2811111111111111
baseline,48.0,4,1.7582138032592902,2.295980474058526,3.0887739373338032,4.128741524220732,0.2938988088962147,2700,0.9533333333333334,0.707037037037037,0.43407407407407406,0.20703703703703705
baseline,48.0,5,1.7016840289690427,2.28272311726868,3.2671073371556623,3.73481818186432,0.2571075791447952,2700,0.9181481481481482,0.6229629629629629,0.3662962962962963,0.19
baseline,48.0,6,1.7168792160133748,2.1637636215939224,2.864612633761222,3.1656824649035715,0.26581348615820344,2700,0.9737037037037037,0.6859259259259259,0.4011111111111111,0.1985185185185185
baseline,48.0,7,1.7541423541922672,2.211867933841589,2.7127925878986128,3.324637072630301,0.2867073979578569,2700,0.9344444444444444,0.7396296296296296,0.46555555555555556,0.22518518518518518
baseline,6.0,0,1.2031592646244669,1.6445631370613933,1.9923962109666071,2.114665426323763,0.080685662383165,2700,0.2644444444444444,0.1348148148148148,0.07185185185185185,0.009259259259259259
baseline,6.0,1,1.2593106573786472,1.7361869514811925,1.9520101121794509,2.1091811647029157,0.09747090669320416,2700,0.3314814814814815,0.16925925925925925,0.0937037037037037,0.006666666666666667
baseline,6.0,2,1.2053214756826778,1.663187541093052,1.93420614563763,2.203550897092728,0.07727519108224608,2700,0.24925925925925926,0.13814814814814816,0.07666666666666666,0.007407407407407408
baseline,6.0,3,1.355503279023327,1.865970267101556,2.199650243398419,2.419662918078259,0.12667728120948737,2700,0.4388888888888889,0.25296296296296295,0.1559259259259259,0.04925925925925926
baseline,6.0,4,1.2806559298805864,1.7866233710960275,2.5640810396591074,3.282294303832097,0.10324429410577986,2700,0.34074074074074073,0.19555555555555557,0.11074074074074074,0.028148148148148148
baseline,6.0,5,1.1844779060219552,1.5898512926168806,1.9622055259647597,2.1395041818918767,0.06775914390607311,2700,0.2237037037037037,0.11851851851851852,0.06703703703703703,0.006296296296296296
baseline,6.0,6,1.1929636250375222,1.5717462157226676,1.9580087720577584,2.135345531808084,0.07942567008188016,2700,0.19,0.11333333333333333,0.06814814814814815,0.006666666666666667
baseline,6.0,7,1.2109866802982094,1.6692995629174494,2.153285299325367,2.626676374739037,0.08320462962215947,2700,0.2348148148148148,0.13333333333333333,0.08407407407407408,0.020370370370370372
B2,12.0,0,1.1741762661994704,1.663706037837042,1.8876205534640575,1.918738622922904,0.07810060836589378,2700,0.19518518518518518,0.1348148148148148,0.07555555555555556,0.0
B2,12.0,1,1.316451889547732,1.8596302856389684,2.0785904412657668,2.324281047276942,0.12142809318551039,2700,0.37148148148148147,0.2633333333333333,0.16333333333333333,0.02666666666666667
