rate_total,seed,gap_next,cens_1.25_base,cens_1.25_b2,cens_1.25,censW_1.25,d_frac_1.25,cens_1.5_base,cens_1.5_b2,cens_1.5,censW_1.5,d_frac_1.5
12.0,0,1.6000000000002785,True,False,True,True,0.06666666666666665,False,False,False,True,0.6333333333333333
12.0,0,6.100000000000108,False,False,False,True,0.0,False,False,False,True,0.0
12.0,0,0.8999999999999488,True,True,True,True,0.0,True,True,True,True,0.0
12.0,0,0.9999999999999432,True,True,True,True,0.0,True,True,True,True,0.0
12.0,0,5.500000000000568,False,False,False,False,-0.033333333333333326,False,False,False,False,0.19999999999999998
12.0,1,0.40000000000000924,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,0.40000000000000213,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,3.2000000000000455,False,False,False,True,0.0,False,False,False,False,0.0
12.0,1,3.999999999999943,True,False,True,True,0.0,False,False,False,True,0.0
12.0,1,1.799999999999912,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,1.900000000000027,True,True,True,True,0.033333333333333326,False,False,False,True,0.0
12.0,1,1.4999999999999076,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,0.20000000000011653,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,0.30000000000000426,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,1.599999999999909,True,True,True,True,0.0,True,False,True,True,0.033333333333333326
12.0,1,5.10000000000008,False,False,False,True,0.0,False,False,False,True,0.0
12.0,1,2.8999999999999204,False,False,False,True,0.0,False,False,False,True,0.0
12.0,1,1.499999999999801,True,True,True,True,0.16666666666666663,True,True,True,True,0.0
12.0,1,3.3000000000001677,False,False,False,True,0.0,False,False,False,False,-0.033333333333333326
12.0,1,0.8999999999999488,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,2.000000000000341,True,True,True,True,0.0,False,False,False,True,0.0
12.0,1,0.6000000000005343,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,1.7000000000000028,True,True,True,True,0.0,False,False,False,True,-0.033333333333333326
12.0,1,1.3000000000001677,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,2.4999999999998863,False,False,False,True,0.0,False,False,False,True,0.0
12.0,1,1.0000000000008384,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,0.20000000000067075,True,False,True,True,0.41666666666666663,False,False,False,True,0.0
12.0,1,1.8999999999998778,True,True,True,True,0.033333333333333326,True,True,True,True,0.0
12.0,1,0.8999999999995225,True,True,True,True,0.0,False,True,True,True,-0.11111111111111116
12.0,1,1.5000000000002416,True,True,True,True,0.0,True,True,True,True,0.0
12.0,1,0.6999999999997186,True,True,True,True,0.1428571428571428,True,True,True,True,0.0
12.0,1,7.300000000000281,False,False,False,True,0.0,False,False,False,True,0.0
12.0,1,8.0,False,False,False,True,0.0,False,False,False,True,0.0
12.0,2,1.6000000000000227,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,6.399999999999977,False,False,False,True,0.0,False,False,False,True,0.033333333333333326
12.0,2,0.9000000000000128,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,4.300000000000054,False,False,False,True,0.0,False,False,False,True,0.0
12.0,2,2.799999999999933,True,False,True,True,0.0,False,False,False,True,0.0
12.0,2,3.0999999999999304,True,False,True,True,0.0,False,False,False,True,0.0
12.0,2,0.3999999999999986,True,True,True,True,0.41666666666666663,True,True,True,True,0.0
12.0,2,0.7999999999999972,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,0.29999999999998295,True,True,True,True,0.41666666666666663,True,True,True,True,0.41666666666666663
12.0,2,0.4000000000001904,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,2.8000000000000824,False,False,False,True,0.20000000000000007,False,False,False,False,0.0
12.0,2,0.50000000000054,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,5.600000000000236,False,False,False,True,0.1333333333333333,False,False,False,True,0.0
12.0,2,1.0000000000003837,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,5.19999999999925,False,False,False,True,0.0,False,False,False,True,-0.033333333333333326
12.0,2,1.8000000000003666,True,True,True,True,0.0,True,False,True,True,0.0
12.0,2,1.3999999999997925,True,True,True,True,0.0,True,True,True,True,0.0
12.0,2,1.1999999999999176,True,True,True,True,0.0,True,True,True,True,0.0
