metric,rate_total,seed,pi2,baseline,B2,ratio
egap_p90,6.0,1,0.8,0.1891356442279763,0.1899339107877908,0.9957971351376723
egap_p90,6.0,2,0.8,0.1745841337303436,0.169799083741184,1.0281806584801907
egap_p90,6.0,3,0.8,0.2189646646741767,0.2097449196777727,1.0439569407000089
egap_p90,6.0,4,0.8,0.2042427349753169,0.1885105112791419,1.0834554189547505
egap_p90,6.0,5,0.8,0.1662349786814962,0.1586099032298702,1.0480743969723954
egap_p90,6.0,6,0.8,0.1627085886363097,0.1597340642870518,1.0186217283241006
egap_p90,6.0,7,0.8,0.1795925828347088,0.1717065595068085,1.0459273271245506
egap_p90,12.0,0,1.6,0.1909570498696342,0.1833113975576336,1.0417085484801718
egap_p90,12.0,1,1.6,0.2452297656226081,0.2390266928681138,1.0259513809109049
egap_p90,12.0,2,1.6,0.2407032091385977,0.2182757888052443,1.102748089726819
egap_p90,12.0,3,1.6,0.2544524029628698,0.2400973815667541,1.0597883296454218
egap_p90,12.0,4,1.6,0.2331937096589214,0.221132534376737,1.0545427443147561
egap_p90,12.0,5,1.6,0.203617488780542,0.1944550506224499,1.0471185403966787
egap_p90,12.0,6,1.6,0.2030158207576506,0.1932000021639588,1.0508065138910383
egap_p90,12.0,7,1.6,0.2256259197033314,0.2041992026513023,1.1049304638501363
egap_p90,24.0,0,3.2,0.2664028157002593,0.2413340650402281,1.1038757237021324
egap_p90,24.0,1,3.2,0.3031447031470166,0.29502991385017,1.0275049712449418
egap_p90,24.0,2,3.2,0.3205531638322144,0.2917301221807455,1.098800361909872
egap_p90,24.0,3,3.2,0.3025915424499587,0.26958272760349,1.122444101444878
egap_p90,24.0,4,3.2,0.2962962264954685,0.2777704950245288,1.0666943818827979
egap_p90,24.0,5,3.2,0.2597997343158022,0.2397142483003384,1.0837892872779873
egap_p90,24.0,6,3.2,0.2769193831057862,0.2532455605702683,1.0934816882167973
egap_p90,24.0,7,3.2,0.2948502915863726,0.2828242750514865,1.042521161002523
egap_p90,48.0,0,6.4,0.3768905458646711,0.3355196256126724,1.1233040248434163
egap_p90,48.0,1,6.4,0.4375845186821012,0.3892373980873914,1.1242098545316421
egap_p90,48.0,2,6.4,0.4413623286725735,0.3729358111254188,1.1834806835542613
egap_p90,48.0,3,6.4,0.4355750330533198,0.4111481746751514,1.0594113263362244
egap_p90,48.0,4,6.4,0.4217363259119349,0.3720908257374231,1.1334230696930583
egap_p90,48.0,5,6.4,0.3976163942517827,0.3443837648925024,1.1545735739775556
egap_p90,48.0,6,6.4,0.3802432454607182,0.3554918639442443,1.0696257327575742
egap_p90,48.0,7,6.4,0.4140273206237029,0.3629232688608881,1.1408122767195825
egap_max,6.0,0,0.8,0.3214917599317184,0.2700402213710392,1.1905328706199807
egap_max,6.0,1,0.8,0.277508915157644,0.3001235939071722,0.9246487806735951
egap_max,6.0,2,0.8,0.2717568987718449,0.2542381178844289,1.0689069799335897
egap_max,6.0,3,0.8,0.3199451575121286,0.3227657325216559,0.9912612315207964
egap_max,6.0,4,0.8,0.5260356568556159,0.4510732272454366,1.166186829725966
egap_max,6.0,5,0.8,0.2532840249488325,0.2754495638131371,0.9195295917065182
egap_max,6.0,6,0.8,0.252449918296549,0.2561723204408277,0.9854691477288682
egap_max,6.0,7,0.8,0.3552585002101087,0.3675699659813369,0.966505789616518
egap_max,12.0,0,1.6,0.2714813857925694,0.2725690829277452,0.9960094625425141
egap_max,12.0,1,1.6,0.4511888211672019,0.3284704974279118,1.3736053152421175
egap_max,12.0,2,1.6,0.3570855664946019,0.3694616030280201,0.966502509511172
egap_max,12.0,3,1.6,0.3793167324501845,0.4485628420384919,0.8456267369949353
egap_max,12.0,4,1.6,0.5181932322905816,0.4792461499815294,1.081267386937909
egap_max,12.0,5,1.6,0.3900229641935754,0.3018459457022188,1.2921258998070035
egap_max,12.0,6,1.6,0.3010627734106236,0.2891828865346982,1.0410808779810004
egap_max,12.0,7,1.6,0.4570591291205605,0.325601238398493,1.4037389150258097
egap_max,24.0,0,3.2,0.4094685933583178,0.3971243584833308,1.0310840536756074
egap_max,24.0,1,3.2,0.525814437379293,0.4650650542108064,1.130625560055411
egap_max,24.0,2,3.2,0.5341697558720542,0.4571185667892433,1.1685584324959954
egap_max,24.0,3,3.2,0.412741396953196,0.414358020459923,0.996098486268149
egap_max,24.0,4,3.2,0.5383423565282639,0.3991399593512348,1.3487558534687676
egap_max,24.0,5,3.2,0.4294421074300656,0.3725208016321887,1.152800341748643
egap_max,24.0,6,3.2,0.4402002119775312,0.3807285176252684,1.1562049901678175
egap_max,24.0,7,3.2,0.5615769855009298,0.4530315336105104,1.239598005519281
egap_max,48.0,0,6.4,0.5157216072741818,0.5366743017513755,0.9609582675957895
egap_max,48.0,1,6.4,0.6839498115167392,0.6901309683059107,0.9910435017800394
egap_max,48.0,2,6.4,0.6013580047828782,0.6230963214206113,0.9651124298275883
egap_max,48.0,3,6.4,0.6275173452925253,0.64209649977409,0.9772944495310377
egap_max,48.0,4,6.4,0.8148059083461469,0.650490002653913,1.2526032760255297
egap_max,48.0,5,6.4,0.7061520230701486,0.4832262685371268,1.461327889329953
egap_max,48.0,6,6.4,0.577701923532917,0.6360693788178492,0.9082372816100509
egap_max,48.0,7,6.4,0.589744327841214,0.521223027665673,1.1314625343443048
