rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,gap_prev_b,gap_rad_base,gap_rad_b2,alive_pre_base,w_clip_floor,w_full,d_pico,d_gmax_pre,d_egap_pre,d_arco_m,pico_base,pico_b2,pre_base,pre_b2,pre_bar,arco_base,arco_b2,isolated,m_unstable,peak_late,floor_base,floor_b2,rel_base,rel_b2,both_above,any_at_floor,log_ok,dl_pico,dl_pre,dl_egap_pre,l_pre_bar,dl_rel
48.0,1,104.59999999999822,8,0.6,0.20000000000030127,1.2999999999994571,1.2999999999994571,0.7100295573039306,0.6700320782584708,18.0,True,False,0.32786217159333253,0.4568234376630558,0.13271202041343572,0.7999495809091961,2.034084848152873,1.7062226765595403,2.065519267283775,1.6086958296207194,1.8371075484522472,14.200591146078612,13.400641565169416,False,True,True,1.8888888888888888,1.875,1.0768684490221092,0.9099854274984215,False,False,True,0.17576404559416148,0.24995784893646955,0.47484128723970853,0.6081923502199893,0.16838393829653903
48.0,1,104.79999999999852,22,1.00000000000054,1.00000000000054,0.20000000000030127,0.20000000000030127,0.6676063937130339,0.6740742054092701,18.0,False,False,0.19603556795926957,0.504024311623352,0.1357377798793946,-0.1293562339247245,1.912551436785301,1.7165158688260314,1.9422398452655032,1.4382155336421512,1.690227689453827,13.352127874260677,13.481484108185402,False,True,False,1.8888888888888888,1.875,1.012527231239277,0.91547513004055,False,True,True,0.1081416026612606,0.3004387341189279,0.5334255071362328,0.5248632473475209,0.10076149536363807
48.0,1,105.79999999999906,23,0.6999999999990649,0.6999999999990649,1.00000000000054,1.00000000000054,0.8565254037473338,0.8443666574899895,16.0,False,False,0.029026868529846706,-0.24651441817967523,0.044293511734914914,0.2431749251468851,2.044803778352544,2.0157769098226974,1.4241446090601486,1.6706590272398238,1.5474018181499862,17.130508074946675,16.88733314979979,True,False,False,1.8666666666666667,1.8666666666666667,1.0954305955460057,1.0798804874050165,True,False,True,0.014297148709536356,-0.15964681653350443,0.17210201756967636,0.4365772781034368,0.014297148709536273
48.0,1,106.49999999999812,4,0.6,0.4000000000003183,0.6999999999990649,0.6999999999990649,0.9123489400778304,1.0905338772597206,15.0,True,False,-0.45374421659226716,0.023856007461697804,0.022546361987581587,-3.5636987436378043,2.32327749820861,2.777021714800877,2.0356371617824807,2.011781154320783,2.0237091580516315,18.246978801556608,21.810677545194412,False,True,False,1.875,1.875,1.2390813323779253,1.4810782478938012,True,False,True,-0.17840012433121755,0.011788395398205087,0.06771910975754136,0.7049320444850649,-0.1784001243312175
48.0,1,107.19999999999852,9,0.7999999999998408,0.7999999999998408,0.3000000000000824,0.3000000000000824,0.8975645668464081,1.057850966325435,16.0,False,False,-0.40816596459982923,-0.4175140161893607,0.02437558987218791,-3.205727989580538,2.2856294009238685,2.6937953655236977,2.29684813894504,2.714362155134401,2.5056051470397205,17.95129133692816,21.1570193265087,False,True,False,1.875,1.875,1.2190023471593965,1.4366908616126388,True,False,True,-0.16430968035872995,-0.16701918339079092,0.0469950190971945,0.9185302810266849,-0.16430968035872998
48.0,1,107.99999999999837,7,0.6000000000006764,0.6000000000006764,0.7999999999998408,0.7999999999998408,1.1211725472111933,0.8447710496074112,15.0,False,False,0.481419816377076,-0.1760349892535482,-0.035215275600278095,5.5280299520756415,2.4981621412662998,2.016742324889224,1.8525157671227028,2.028550756376251,1.940533261749477,22.423450944223866,16.895420992148225,False,True,False,1.8571428571428572,1.8666666666666667,1.345164229912623,1.0803976740477985,True,False,True,0.21407181888528093,-0.09077703556202832,-0.08537902816799492,0.6629628124938756,0.21918691955205127
48.0,1,108.59999999999904,2,0.6,0.09999999999992326,0.6000000000006764,0.6000000000006764,1.1138803592324686,1.014857816181614,14.0,True,False,0.2206389808570295,0.7502692712665651,0.1197374850398516,1.9804508610170934,2.4819139125875287,2.261274931730499,2.4874148743346565,1.7371456030680914,2.112280238701374,22.277607184649373,20.29715632363228,False,True,False,1.8571428571428572,1.8571428571428572,1.336415183700977,1.217609578624115,True,False,True,0.0931012181786044,0.359000659897046,0.29191181574620007,0.7477680458206972,0.09310121817860434
48.0,1,113.59999999999818,21,0.6,0.20000000000088392,0.7999999999996561,0.7999999999996561,0.528492291585807,0.559034302114739,19.0,True,False,-0.09235732700524069,0.20314634339639093,0.0027388169061098866,-0.6108402105786404,1.598131051245045,1.6904883782502858,1.6040702412575998,1.4009238978612089,1.5024970695594044,10.56984583171614,11.18068604229478,False,True,True,1.894736842105263,1.894736842105263,0.8434580548237738,0.8922021996320953,False,False,True,-0.05618261487957804,0.13541235378440714,0.009554737493952636,0.4071284370488873,-0.0561826148795781
48.0,1,118.09999999999836,9,0.6,0.10000000000060538,1.4999999999993179,1.4999999999993179,0.4756355513138448,0.5843472385149742,23.0,True,False,-0.38064405257823286,-0.038147546384739384,0.009374823860228698,-2.1742337440225885,1.6653944802404193,2.046038532818652,1.186664517870047,1.2248120642547864,1.2057382910624166,9.512711026276895,11.686944770299483,False,True,False,1.9090909090909092,1.9090909090909092,0.8723494896497433,1.0717344695716748,False,False,True,-0.2058434801573732,-0.031640969881718634,0.06753182630254151,0.18709206900328174,-0.2058434801573733
48.0,1,118.19999999999897,2,1.5,1.7999999999988319,0.10000000000060538,0.10000000000060538,0.4756355513138448,0.5843472385149742,23.0,False,True,-0.38064405257823286,-0.024751857745361372,0.015191381777321183,-2.1742337440225885,1.6653944802404193,2.046038532818652,1.1855761638541538,1.2103280215995151,1.1979520927268346,9.512711026276895,11.686944770299483,False,True,False,1.9090909090909092,1.9090909090909092,0.8723494896497433,1.0717344695716748,False,False,True,-0.2058434801573732,-0.020662544454620513,0.11329035315264036,0.18061350951706232,-0.2058434801573733
