egap_avg,egap_p90,egap_max,effort_mean_v2,sat_frac,fairness_p95,method,N,tau_xy,rate_total,off,seed
0.1002951496221858,0.19095704986963427,0.2714813857925694,0.0006560323332367939,0.0,0.23121965389180865,baseline,24,1.0,12.0,8.0,0
0.07810060836589378,0.18331139755763365,0.2725690829277452,0.0014751435866982017,0.0,0.2385726130837568,B2,24,1.0,12.0,8.0,0
0.13900443909237353,0.2452297656226081,0.4511888211672019,0.0011061684375474595,0.0,0.30307682498952443,baseline,24,1.0,12.0,8.0,1
0.12142809318551039,0.23902669286811384,0.3284704974279118,0.0026012067141826492,0.0,0.2682902171975345,B2,24,1.0,12.0,8.0,1
0.13173255305537407,0.2407032091385977,0.3570855664946019,0.001062723229518172,0.0,0.30250213833670714,baseline,24,1.0,12.0,8.0,2
0.10913329353214771,0.21827578880524434,0.3694616030280201,0.0023632475409890333,0.0,0.3575608346977433,B2,24,1.0,12.0,8.0,2
0.16407400333278052,0.2544524029628698,0.3793167324501845,0.0013795105981232079,0.0,0.29142930919933135,baseline,24,1.0,12.0,8.0,3
0.13952358250033703,0.24009738156675417,0.4485628420384919,0.0033259257098861663,0.0,0.3248615452789565,B2,24,1.0,12.0,8.0,3
0.12900473675540897,0.23319370965892144,0.5181932322905816,0.0008049894443466579,0.0,0.2728983325091868,baseline,24,1.0,12.0,8.0,4
0.10361704722765605,0.22113253437673708,0.4792461499815294,0.002150124938826726,0.0,0.25477549783066133,B2,24,1.0,12.0,8.0,4
0.11470827577308008,0.20361748878054206,0.3900229641935754,0.0007081653310178629,0.0,0.22954976106944128,baseline,24,1.0,12.0,8.0,5
0.09191624693226245,0.19445505062244994,0.3018459457022188,0.0016577840551013035,0.0,0.23242262088914487,B2,24,1.0,12.0,8.0,5
0.12040331671446175,0.20301582075765068,0.3010627734106236,0.0007654043471347535,0.0,0.2190133865128456,baseline,24,1.0,12.0,8.0,6
0.1012788417615039,0.19320000216395883,0.2891828865346982,0.0020140516954888507,0.0,0.23242600991220727,B2,24,1.0,12.0,8.0,6
0.12956021508863683,0.22562591970333146,0.4570591291205605,0.0007916037285633008,0.0,0.23133245558525037,baseline,24,1.0,12.0,8.0,7
0.09984090824963339,0.20419920265130234,0.325601238398493,0.002153097604144097,0.0,0.23289182291242377,B2,24,1.0,12.0,8.0,7
0.17300104537426167,0.2664028157002593,0.4094685933583178,0.0014333100865530045,0.0,0.34258713815316877,baseline,24,1.0,24.0,8.0,0
0.15031731866603773,0.24133406504022814,0.3971243584833308,0.0034620152545687356,0.0,0.3197895103267903,B2,24,1.0,24.0,8.0,0
0.20513803642206455,0.3031447031470166,0.525814437379293,0.002065549320807678,0.0,0.3966659587819647,baseline,24,1.0,24.0,8.0,1
0.18418556131274086,0.29502991385017,0.4650650542108064,0.004870570819890501,0.0,0.3277207607708752,B2,24,1.0,24.0,8.0,1
0.21313396944516974,0.3205531638322144,0.5341697558720542,0.0022861548689660292,0.0,0.3388570673819031,baseline,24,1.0,24.0,8.0,2
0.17799090741489582,0.29173012218074557,0.4571185667892433,0.004494433582379632,0.0,0.3346496331621501,B2,24,1.0,24.0,8.0,2
0.20894641656163454,0.30259154244995873,0.412741396953196,0.002042606822795698,0.0,0.3190882740821366,baseline,24,1.0,24.0,8.0,3
0.17399251538857496,0.26958272760349,0.414358020459923,0.0045496250325724455,0.0,0.31418077351334156,B2,24,1.0,24.0,8.0,3
0.19626768372896353,0.2962962264954685,0.5383423565282639,0.0017751161040658757,0.0,0.38138360096694607,baseline,24,1.0,24.0,8.0,4
0.16994928855740105,0.27777049502452883,0.3991399593512348,0.004448055795682018,0.0,0.408593359198279,B2,24,1.0,24.0,8.0,4
0.1594243359424007,0.2597997343158022,0.4294421074300656,0.0011875177174941794,0.0,0.28933381597333563,baseline,24,1.0,24.0,8.0,5
0.1369676745544613,0.23971424830033847,0.3725208016321887,0.002785465350603901,0.0,0.48436142489057876,B2,24,1.0,24.0,8.0,5
0.17708166503876596,0.2769193831057862,0.4402002119775312,0.0016359741887717418,0.0,0.324242258320103,baseline,24,1.0,24.0,8.0,6
