method,rate_total,seed,t_fail,node,w_e,gap_next,n_amostras,area_1.25,frac_1.25,arearad_1.25,arcom_1.25,tclose_1.25,cens_1.25,area_1.5,frac_1.5,arearad_1.5,arcom_1.5,tclose_1.5,cens_1.5
B2,24.0,2,104.19999999999926,11,1.5,3.599999999998772,30,0.6405090296902898,1.0,0.18152376134583667,3.6304752269167335,,True,0.2749127285504903,0.8666666666666667,0.07773057001915844,1.5546114003831688,1.3499999999968963,False
B2,24.0,2,107.79999999999804,15,0.6,0.19999999999998863,12,0.217838350537023,0.5833333333333334,0.06645128432723055,1.329025686544611,,True,0.130338350537028,0.5833333333333334,0.0397103468591761,0.794206937183522,,True
B2,24.0,2,107.99999999999802,25,1.0000000000005116,1.0000000000005116,20,0.5192256267974213,0.95,0.16113488962574105,3.222697792514821,,True,0.2817256267974349,0.95,0.08727006235384237,1.7454012470768474,,True
B2,24.0,2,108.99999999999854,21,0.6,0.39999999999942304,12,0.26759361427341327,1.0,0.08690426262897467,1.7380852525794934,,True,0.11759361427342185,1.0,0.03833358673466158,0.7666717346932316,,True
B2,24.0,2,109.39999999999796,13,1.5,1.8000000000003382,30,0.5614008430488212,1.0,0.19416832305033294,3.8833664610066587,,True,0.1881845956204199,0.9333333333333333,0.06480987060221936,1.2961974120443873,1.4499999999978712,False
B2,24.0,2,112.69999999999789,24,1.5,2.799999999999841,30,0.9346132136435656,0.8333333333333334,0.30907094799269186,6.181418959853837,,True,0.6221132136435834,0.8333333333333334,0.20572908438777046,4.114581687755409,,True
B2,24.0,2,115.49999999999773,16,0.6,0.3000000000003098,12,0.11470788899913001,0.5833333333333334,0.03893564899544529,0.7787129799089059,,True,0.04088041094501055,0.25,0.014268734215511046,0.28537468431022095,,True
B2,24.0,2,117.09999999999846,4,0.6,0.2999999999994998,12,0.30119449177165836,1.0,0.09169632823216911,1.8339265646433822,,True,0.19101053953679376,0.6666666666666666,0.058168368126452985,1.1633673625290597,,True
B2,24.0,2,122.89999999999765,12,0.6,0.39999999999994884,12,0.21511840343033797,0.5833333333333334,0.0643632757970205,1.28726551594041,,True,0.12761840343034295,0.5833333333333334,0.038183337017107064,0.7636667403421413,,True
B2,24.0,2,123.2999999999976,25,0.6,0.20000000000013074,12,0.3562699758648865,1.0,0.10659572751159432,2.1319145502318864,,True,0.20626997586489507,1.0,0.06171583246031416,1.2343166492062831,,True
B2,24.0,2,124.49999999999709,6,0.6000000000013728,0.6000000000013728,12,0.32283791441860443,1.0,0.10037263073492904,2.0074526146985807,,True,0.1728379144186129,1.0,0.05399673918193949,1.0799347836387898,,True
B2,24.0,2,129.1999999999974,24,0.8999999999998352,0.8999999999998352,18,0.2998979093124749,0.7777777777777778,0.09421570687230091,1.8843141374460182,,True,0.12489790931248486,0.7777777777777778,0.039237835434482664,0.7847567086896533,,True
B2,24.0,2,130.09999999999724,14,0.6,0.5000000000009095,12,0.31643339755347466,1.0,0.10345282026309757,2.0690564052619513,,True,0.16643339755348316,1.0,0.05467546064157462,1.0935092128314925,,True
B2,24.0,2,130.59999999999815,4,0.6,0.2999999999994998,12,0.3225926031228753,1.0,0.10799894341766167,2.1599788683532335,,True,0.17259260312288383,1.0,0.057705903129933206,1.154118062598664,,True
B2,24.0,2,131.69999999999715,15,0.7999999999999545,0.7999999999999545,16,0.570115763988663,1.0,0.1870562686220967,3.741125372441934,,True,0.37011576398867446,1.0,0.12174421082378631,2.434884216475726,,True
B2,24.0,2,132.99999999999662,2,1.5,2.0000000000011653,30,0.5435201887709339,1.0,0.1780263162384695,3.5605263247693903,,True,0.1772916380248439,0.8333333333333334,0.05774348014112434,1.1548696028224867,1.299999999999656,False
B2,24.0,2,134.99999999999778,7,1.5,2.199999999999619,30,0.2698894957872457,0.9333333333333333,0.09420254675735759,1.884050935147152,,True,0.005186225603830824,0.3333333333333333,0.0018103342507615776,0.036206685015231554,0.7499999999988205,False
B2,24.0,2,141.69999999999658,6,1.300000000001205,1.300000000001205,26,0.5684353341123737,1.0,0.1623311042270569,3.246622084541138,,True,0.304836263110496,0.8076923076923077,0.08706103315779089,1.7412206631558178,,True
B2,24.0,2,144.09999999999644,20,0.6,0.3000000000005514,12,0.2929161958801586,0.5833333333333334,0.08474579983104132,1.6949159966208263,,True,0.2054161958801636,0.5833333333333334,0.0595858586659297,1.191717173318594,,True
B2,24.0,2,144.399999999997,21,1.5,5.299999999999585,30,1.844872213718683,1.0,0.5495819027955714,10.991638055911428,,True,1.4698722137187041,1.0,0.4382321631797058,8.764643263594117,,True
B2,24.0,2,150.79999999999606,5,1.3000000000003809,1.3000000000003809,26,0.24352622437519048,0.8076923076923077,0.07286287594795784,1.4572575189591568,,True,0.008363295794994143,0.38461538461538464,0.002502292250414478,0.050045845008289555,1.2000000000042377,False
B2,24.0,3,27.900000000000126,14,1.5,1.8000000000000256,30,0.6632876077245969,0.8666666666666667,0.1811982152734558,3.623964305469116,,True,0.3382876077246154,0.8666666666666667,0.0924140750633145,1.84828150126629,,True
