method,rate_total,seed,t_fail,node,w_e,gap_next,gap_prev,lb_max,w_clip_floor,w_full,gmax_pre,egap_pre,alive_pre,gmax_peak,t_peak_rel,gmax_first,alive_first,gap_rad_first,floor_first,gap_rad_peak,alive_peak,arc_peak_m,geom_floor,n_concurrent,peak_late,m_nvals,m_shift,m_unstable,isolated,rel_floor,at_floor,above_floor,below_floor
baseline,24.0,7,68.0000000000003,2,0.6,0.5,3.3999999999998067,1.2667344017986513,True,False,1.3300711218885837,0.1560298215908635,21.0,1.7734996460380092,0.299999999997965,1.7734996460380092,20.0,0.5571613459137108,1.9,0.5571613459137108,20.0,11.143226918274216,1.9,1,False,2,-1.0,False,False,0.9334208663357944,False,False,True
baseline,24.0,7,68.5000000000003,14,0.6,0.1999999999999602,0.5,1.6777066232073619,True,False,1.766006971797223,0.2236671263881109,20.0,2.138412320086359,0.44999999999792806,1.806899728782156,19.0,0.5975308330226747,1.894736842105263,0.7464467150143568,18.0,14.928934300287136,1.8888888888888888,2,False,3,-2.0,True,False,1.1321006400457194,False,True,False
baseline,24.0,7,68.70000000000026,22,1.5,2.6000000000002643,0.1999999999999602,1.6489259387082043,False,True,1.7357115144296886,0.2152812807731761,20.0,2.138412320086359,0.24999999999796785,1.806899728782156,19.0,0.5975308330226747,1.894736842105263,0.7464467150143568,18.0,14.928934300287136,1.8888888888888888,2,False,3,-2.0,True,False,1.1321006400457194,False,True,False
baseline,24.0,7,73.70000000000009,18,1.5,2.3000000000002103,1.0999999999995964,1.4076819223575403,False,True,1.4780660184754173,0.2254868621311139,21.0,1.9874067533363171,0.5499999999978371,1.9661076844959329,20.0,0.6176709457778862,1.9,0.6243622455976117,20.0,12.487244911952233,1.9,0,False,2,-1.0,False,True,1.0460035543875355,False,True,False
baseline,24.0,7,82.79999999999946,7,0.7999999999998408,0.7999999999998408,1.099999999999369,1.0721717185410373,False,False,1.1187878802167346,0.1110750672878062,24.0,1.9801900007277704,0.299999999997965,1.9801900007277704,23.0,0.5409522051302895,1.9130434782608696,0.5409522051302895,23.0,10.81904410260579,1.9130434782608696,0,False,2,-1.0,False,True,1.0350993185622437,False,True,False
baseline,24.0,7,83.5999999999993,6,1.5,7.200000000000102,0.7999999999998408,1.830142646864615,False,True,1.9133309489948247,0.2087418172284975,23.0,2.0127362636183843,0.699999999998056,1.984381598004516,22.0,0.5667380591099782,1.9090909090909092,0.5748361326724805,22.0,11.49672265344961,1.9090909090909092,1,False,2,-1.0,False,False,1.054290423800106,False,True,False
baseline,24.0,7,90.7999999999994,19,0.7999999999998977,0.7999999999998977,7.200000000000102,1.17798855388299,False,False,1.2340832469250371,0.1232277709917735,22.0,1.7620717934574517,0.2999999999975529,,,,,0.5032465274021565,22.0,10.06493054804313,1.9090909090909092,1,False,2,0.0,True,False,0.9229899870491414,False,False,True
baseline,24.0,7,96.19999999999926,18,1.1999999999993776,1.1999999999993776,4.599999999999966,1.0629581815825662,False,False,1.111274462563592,0.0775069514219247,23.0,2.0758890779852783,0.2499999999973994,2.0758890779852783,22.0,0.5928725342787127,1.9090909090909092,0.5928725342787127,22.0,11.857450685574253,1.9090909090909092,0,False,2,-1.0,False,True,1.0873704694208601,False,True,False
baseline,24.0,7,97.39999999999864,16,0.800000000000054,0.800000000000054,1.1999999999993776,1.8048530913048708,False,False,1.890798476605103,0.2075385045717782,22.0,2.0863285352813365,0.6499999999979167,2.0515378482723654,21.0,0.6138186888279882,1.9047619047619047,0.6242280380394858,21.0,12.484560760789716,1.9047619047619047,0,False,2,-1.0,False,True,1.0953224810227018,False,True,False
baseline,24.0,7,98.1999999999987,3,0.6000000000007049,0.6000000000007049,0.800000000000054,1.9834479884345722,False,False,2.0826203878563008,0.2871801803069362,21.0,2.079064643555654,0.04999999999786553,1.9487087757782997,20.0,0.6122049173971065,1.9,0.6220546867174024,21.0,12.441093734348048,1.9047619047619047,1,False,2,0.0,True,False,1.0915089378667184,False,True,False
